label,path
blocking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/blocking/getty-karate-video-id635808620_4
piloting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/piloting/yt-SWQpGv37JOI_107
dining,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/dining/getty-accross-the-table-video-id533370940_22
barbecuing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/barbecuing/getty-barbecue-video-id600107508_14
boarding,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/boarding/getty-subway-trains-arrive-at-station-people-alight-and-board-trains-video-id1B04416_0001_8
catching,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/catching/vine-MnKOmwKOUTh_1
gambling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/gambling/getty-card-dealer-stacks-chips-on-casino-table-then-pushes-them-toward-video-id553432115_5
barbecuing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/barbecuing/getty-grilled-skewers-of-meat-and-vegetables-video-id490231050_2
drying,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/drying/getty-beautiful-woman-enjoying-while-making-a-hairstyle-at-hairdressers-video-id687917452_18
plugging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/plugging/getty-refueling-video-id494555018_5
snowing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/snowing/e0AtToB7CfI_94
drawing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/drawing/yt-oIOWEX7Slq0_273
constructing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/constructing/getty-decoration-of-a-cake-video-id127928400_10
chasing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/chasing/vine-Mn02J0vWFPJ_2
adult+female+singing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/adult+female+singing/peeks-www_k_to_keek_bdlteab_29
spinning,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/spinning/giphy-xT8qB6O160tmPVFkEo_1
dunking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/dunking/yt-g7OCnjf71hI_2
clearing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/clearing/getty-foot-spa-manicure-in-beauty-salon-video-id637946926_6
drinking,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/drinking/yt-i8oBFj0CSUc_346
sewing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/sewing/getty-footage-of-workers-working-with-fabrics-and-finishing-clothing-at-the-video-id657605682_138
taping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/taping/yt-MEy__Vt1F60_92
tickling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/tickling/yt-QwRZkayRUOE_20
drumming,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/drumming/getty-fireworks-bursting-in-sky-marching-band-in-parade-drummer-walking-video-id509455341_9
whistling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/whistling/yt-Tv75dzQxGeQ_34
juggling,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/juggling/yt-jiC4QXKjPUY_3
clearing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/clearing/getty-goat-mother-cleaning-her-newborn-in-local-farm-video-id843485158_6
closing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/closing/getty_R-london-tower-bridge-opening-next-to-the-tower-of-london-video-id612304124_17
carving,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/carving/yt-5tlwRSkilBU_7
eating,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/eating/yt-CwXDia8ldfY_3
jumping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/jumping/yt-2eT96Axo7l4_95
laughing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/laughing/yt-S18kS6zXwCA_5
swinging,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/swinging/flickr-0-9-5-7-3-4-9-0-26209573490_9
squatting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/squatting/getty-young-woman-doing-kettlebell-goblet-squats-video-id819402624_4
taping,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/taping/yt-TPfcxBp4W50_64
tattooing,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/tattooing/giphy-eMd2Vx6ShOMHm_7
rafting,/mnt/fvpbignas/datasets/moments_in_time/Moments_in_Time_Aug/training/rafting/4-4-5-4-7-5-4-9-4744547549_15
